source;period_start;period_end;advert_id;campaign_title;raw_json
promotion_count;2026-03-20;2026-04-04;32265522;;"{""advertId"": 32265522, ""changeTime"": ""2025-12-26T02:17:01.020895+03:00""}"
promotion_count;2026-03-20;2026-04-04;32265529;;"{""advertId"": 32265529, ""changeTime"": ""2025-12-26T02:17:17.899663+03:00""}"
promotion_count;2026-03-20;2026-04-04;32265657;;"{""advertId"": 32265657, ""changeTime"": ""2025-12-26T02:22:24.745526+03:00""}"
promotion_count;2026-03-20;2026-04-04;32265662;;"{""advertId"": 32265662, ""changeTime"": ""2025-12-26T02:22:45.130856+03:00""}"
promotion_count;2026-03-20;2026-04-04;32266036;;"{""advertId"": 32266036, ""changeTime"": ""2025-12-26T02:38:27.455084+03:00""}"
promotion_count;2026-03-20;2026-04-04;32266114;;"{""advertId"": 32266114, ""changeTime"": ""2025-12-26T02:41:02.917029+03:00""}"
promotion_count;2026-03-20;2026-04-04;32268655;;"{""advertId"": 32268655, ""changeTime"": ""2025-12-26T04:25:35.25347+03:00""}"
promotion_count;2026-03-20;2026-04-04;32315944;;"{""advertId"": 32315944, ""changeTime"": ""2025-12-27T09:08:34.229638+03:00""}"
promotion_count;2026-03-20;2026-04-04;32328447;;"{""advertId"": 32328447, ""changeTime"": ""2025-12-27T16:25:13.673472+03:00""}"
promotion_count;2026-03-20;2026-04-04;32363533;;"{""advertId"": 32363533, ""changeTime"": ""2025-12-28T17:18:27.38008+03:00""}"
promotion_count;2026-03-20;2026-04-04;32364472;;"{""advertId"": 32364472, ""changeTime"": ""2025-12-28T17:55:17.874047+03:00""}"
promotion_count;2026-03-20;2026-04-04;32364498;;"{""advertId"": 32364498, ""changeTime"": ""2025-12-28T17:56:25.937816+03:00""}"
promotion_count;2026-03-20;2026-04-04;32365739;;"{""advertId"": 32365739, ""changeTime"": ""2025-12-28T18:45:49.52072+03:00""}"
promotion_count;2026-03-20;2026-04-04;32377002;;"{""advertId"": 32377002, ""changeTime"": ""2025-12-29T03:23:52.419656+03:00""}"
promotion_count;2026-03-20;2026-04-04;32377506;;"{""advertId"": 32377506, ""changeTime"": ""2025-12-29T03:50:10.034404+03:00""}"
promotion_count;2026-03-20;2026-04-04;32377516;;"{""advertId"": 32377516, ""changeTime"": ""2025-12-29T03:50:18.724394+03:00""}"
promotion_count;2026-03-20;2026-04-04;32636471;;"{""advertId"": 32636471, ""changeTime"": ""2026-01-06T12:54:24.380733+03:00""}"
promotion_count;2026-03-20;2026-04-04;35140062;;"{""advertId"": 35140062, ""changeTime"": ""2026-03-21T12:46:20.346153+03:00""}"
promotion_count;2026-03-20;2026-04-04;35185220;;"{""advertId"": 35185220, ""changeTime"": ""2026-03-23T15:37:01.774912+03:00""}"
promotion_count;2026-03-20;2026-04-04;27086791;;"{""advertId"": 27086791, ""changeTime"": ""2026-03-03T17:47:06.378191+03:00""}"
promotion_count;2026-03-20;2026-04-04;28143689;;"{""advertId"": 28143689, ""changeTime"": ""2026-03-03T17:48:22.482917+03:00""}"
promotion_count;2026-03-20;2026-04-04;30911162;;"{""advertId"": 30911162, ""changeTime"": ""2025-11-26T20:55:06.095968+03:00""}"
promotion_count;2026-03-20;2026-04-04;30911220;;"{""advertId"": 30911220, ""changeTime"": ""2025-11-26T19:29:38.175416+03:00""}"
promotion_count;2026-03-20;2026-04-04;30911475;;"{""advertId"": 30911475, ""changeTime"": ""2025-11-26T19:36:22.242557+03:00""}"
promotion_count;2026-03-20;2026-04-04;31660173;;"{""advertId"": 31660173, ""changeTime"": ""2026-04-02T09:00:50.814957+03:00""}"
promotion_count;2026-03-20;2026-04-04;31660232;;"{""advertId"": 31660232, ""changeTime"": ""2025-12-13T17:06:01.4298+03:00""}"
promotion_count;2026-03-20;2026-04-04;33464203;;"{""advertId"": 33464203, ""changeTime"": ""2026-04-02T21:09:34.115491+03:00""}"
promotion_count;2026-03-20;2026-04-04;33464221;;"{""advertId"": 33464221, ""changeTime"": ""2026-03-04T07:26:48.970062+03:00""}"
promotion_count;2026-03-20;2026-04-04;33464250;;"{""advertId"": 33464250, ""changeTime"": ""2026-02-04T00:52:28.231943+03:00""}"
promotion_count;2026-03-20;2026-04-04;33464267;;"{""advertId"": 33464267, ""changeTime"": ""2026-02-04T00:52:26.790945+03:00""}"
promotion_count;2026-03-20;2026-04-04;35492955;;"{""advertId"": 35492955, ""changeTime"": ""2026-04-02T21:55:27.063702+03:00""}"
promotion_count;2026-03-20;2026-04-04;35492989;;"{""advertId"": 35492989, ""changeTime"": ""2026-04-02T23:06:59.338125+03:00""}"
promotion_count;2026-03-20;2026-04-04;32268844;;"{""advertId"": 32268844, ""changeTime"": ""2025-12-26T05:56:38.317568+03:00""}"
promotion_count;2026-03-20;2026-04-04;32287645;;"{""advertId"": 32287645, ""changeTime"": ""2025-12-26T17:18:48.889337+03:00""}"
promotion_count;2026-03-20;2026-04-04;32316714;;"{""advertId"": 32316714, ""changeTime"": ""2025-12-27T11:25:05.801722+03:00""}"
promotion_count;2026-03-20;2026-04-04;32328632;;"{""advertId"": 32328632, ""changeTime"": ""2025-12-27T17:52:08.927364+03:00""}"
promotion_count;2026-03-20;2026-04-04;32365758;;"{""advertId"": 32365758, ""changeTime"": ""2025-12-28T21:48:41.029523+03:00""}"
promotion_count;2026-03-20;2026-04-04;32377704;;"{""advertId"": 32377704, ""changeTime"": ""2025-12-29T21:23:11.539312+03:00""}"
promotion_count;2026-03-20;2026-04-04;32636570;;"{""advertId"": 32636570, ""changeTime"": ""2026-01-06T19:33:06.838275+03:00""}"
promotion_count;2026-03-20;2026-04-04;35129164;;"{""advertId"": 35129164, ""changeTime"": ""2026-03-20T22:52:42.764559137+03:00""}"
promotion_count;2026-03-20;2026-04-04;35259479;;"{""advertId"": 35259479, ""changeTime"": ""2026-03-25T20:03:11.134542577+03:00""}"
